Entity,Code,Year,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
Other Middle East (BP),,2003,0.006000000052154064,0,0.003000000026077032,4.109683036804199
Other Middle East (BP),,2004,0.006000000052154064,0,0.004100000020116568,5.371438980102539
Other Middle East (BP),,2005,0.004999999888241291,0,0.004100000020116568,4.54828405380249
Other Middle East (BP),,2006,0.006000000052154064,0,0.004100000020116568,4.739462852478027
Other Middle East (BP),,2007,0.009999999776482582,0,0.004100000020116568,4.166501998901367
Other Middle East (BP),,2008,0.008999999612569809,0.0027000000700354576,0.0052999998442828655,3.3043971061706543
Other Middle East (BP),,2009,0.007000000216066837,0.003000000026077032,0.0052999998442828655,2.539112091064453
Other Middle East (BP),,2010,0.008999999612569809,0.004538500215858221,0.0052999998442828655,3.4922521114349365
Other Middle East (BP),,2011,0.00800000037997961,0.006783000193536282,0.0052999998442828655,4.143245220184326
Other Middle East (BP),,2012,0.006000000052154064,0.010233603417873383,0.006300000008195639,4.475461959838867
Other Middle East (BP),,2013,0.006000000052154064,0.017240000888705254,0.00930000003427267,4.249337196350098
Other Middle East (BP),,2014,0.0035000001080334187,0.043252501636743546,0.010700000450015068,2.5915780067443848
Other Middle East (BP),,2015,0.004100000020116568,0.19345000386238098,0.131400004029274,0.9447489976882935
Other Middle East (BP),,2016,0.004100000020116568,0.6607000231742859,0.40700000524520874,1.3527450561523438
Other Middle East (BP),,2017,0.004100000020116568,0.8795239925384521,0.4573509991168976,1.2066739797592163
Other Middle East (BP),,2018,0.010400000028312206,1.439249038696289,0.7152510285377502,1.1243489980697632
Other Middle East (BP),,2019,0.03849999979138374,2.0758798122406006,0.8831509947776794,1.7374160289764404
Other Middle East (BP),,2020,0.03859588876366615,2.4391565322875977,1.3870736360549927,1.8114687204360962
Other Middle East (BP),,2021,0.03849043697118759,2.4338741302490234,1.6580249071121216,1.6120740175247192
Other Middle East (BP),,1965,,,,0.5559999942779541
Other Middle East (BP),,1966,,,,0.6060000061988831
Other Middle East (BP),,1967,,,,0.734000027179718
Other Middle East (BP),,1968,,,,0.8140000104904175
Other Middle East (BP),,1969,,,,0.9520000219345093
Other Middle East (BP),,1970,,,,0.9279999732971191
Other Northern Africa (BP),,1971,0,0,0,0.05000000074505806
Other Northern Africa (BP),,1972,0,0,0,0.05299999937415123
Other Northern Africa (BP),,1973,0,0,0,0.07100000232458115
Other Northern Africa (BP),,1974,0,0,0,0.02199999988079071
Other Northern Africa (BP),,1975,0,0,0,0.03099999949336052
Other Northern Africa (BP),,1976,0,0,0,0.05299999937415123
Other Northern Africa (BP),,1977,0,0,0,0.029999999329447746
Other Northern Africa (BP),,1978,0,0,0,0.02800000086426735
Other Northern Africa (BP),,1979,0,0,0,0.03999999910593033
Other Northern Africa (BP),,1980,0,0,0,0.023000000044703484
Other Northern Africa (BP),,1981,0,0,0,0.028999999165534973
Other Northern Africa (BP),,1982,0,0,0,0.039000000804662704
Other Northern Africa (BP),,1983,0,0,0,0.029999999329447746
Other Northern Africa (BP),,1984,0,0,0,0.06700000166893005
Other Northern Africa (BP),,1985,0,0,0,0.10899999737739563
Other Northern Africa (BP),,1986,0,0,0,0.052000001072883606
Other Northern Africa (BP),,1987,0,0,0,0.11299999803304672
